State,date,cases,deaths,population,p_cases,p_deaths,diff,p_diff,d_diff,p.d_diff
SD,2021-06-08T00:00:00Z,124302,2023,884659,14050.837667395008,228.6756818163835,29,3.2780992450207123,1,0.11303790500070932
SD,2021-06-09T00:00:00Z,124314,2023,884659,14052.194122255016,228.6756818163835,12,1.3564548600079434,0,0
SD,2021-06-10T00:00:00Z,124335,2026,884659,14054.56791826003,229.01479553138554,21,2.3737960050148104,3,0.3391137150020427
SD,2021-06-11T00:00:00Z,124343,2026,884659,14055.472221500035,229.01479553138554,8,0.9043032400040829,0,0
SD,2021-06-12T00:00:00Z,124343,2026,884659,14055.472221500035,229.01479553138554,0,0,0,0
SD,2021-06-13T00:00:00Z,124343,2026,884659,14055.472221500035,229.01479553138554,0,0,0,0
SD,2021-06-14T00:00:00Z,124356,2026,884659,14056.941714265045,229.01479553138554,13,1.4694927650107275,0,0
SD,2021-06-15T00:00:00Z,124377,2026,884659,14059.31551027006,229.01479553138554,21,2.3737960050148104,0,0
SD,2021-06-16T00:00:00Z,124382,2026,884659,14059.880699795063,229.01479553138554,5,0.5651895250030066,0,0
SD,2021-06-17T00:00:00Z,124393,2027,884659,14061.12411675007,229.12783343638625,11,1.2434169550069782,1,0.11303790500070932
SD,2021-06-18T00:00:00Z,124393,2027,884659,14061.12411675007,229.12783343638625,0,0,0,0
SD,2021-06-19T00:00:00Z,124393,2027,884659,14061.12411675007,229.12783343638625,0,0,0,0
SD,2021-06-20T00:00:00Z,124393,2027,884659,14061.12411675007,229.12783343638625,0,0,0,0
TN,2020-03-10T00:00:00Z,7,0,6829174,0.10250141525168344,0,7,0.10250141525168344,0,0
TN,2020-03-11T00:00:00Z,8,0,6829174,0.11714447457335249,0,1,0.014643059321669052,0,0
TN,2020-03-12T00:00:00Z,17,0,6829174,0.24893200846837407,0,9,0.13178753389502157,0,0
TN,2020-03-13T00:00:00Z,18,0,6829174,0.26357506779004314,0,1,0.014643059321669066,0,0
TN,2020-03-14T00:00:00Z,32,0,6829174,0.46857789829340996,0,14,0.20500283050336682,0,0
TN,2020-03-15T00:00:00Z,39,0,6829174,0.5710793135450934,0,7,0.10250141525168349,0,0
TN,2020-03-16T00:00:00Z,55,0,6829174,0.8053682626917985,0,16,0.23428894914670506,0,0
TN,2020-03-17T00:00:00Z,73,0,6829174,1.0689433304818416,0,18,0.26357506779004314,0,0
TN,2020-03-18T00:00:00Z,98,0,6829174,1.4350198135235681,0,25,0.36607648304172646,0,0
TN,2020-03-19T00:00:00Z,154,0,6829174,2.2550311355370356,0,56,0.8200113220134675,0,0
TN,2020-03-20T00:00:00Z,227,1,6829174,3.3239744660188775,0.014643059321669061,73,1.0689433304818419,1,0.014643059321669061
TN,2020-03-21T00:00:00Z,367,1,6829174,5.374002771052546,0.014643059321669061,140,2.0500283050336687,0,0
TN,2020-03-22T00:00:00Z,498,2,6829174,7.292243542191193,0.029286118643338122,131,1.918240771138647,1,0.014643059321669061
TN,2020-03-23T00:00:00Z,607,2,6829174,8.88833700825312,0.029286118643338122,109,1.5960934660619275,0,0
TN,2020-03-24T00:00:00Z,667,2,6829174,9.766920567553266,0.029286118643338122,60,0.8785835593001448,0,0
TN,2020-03-25T00:00:00Z,780,4,6829174,11.42158627090187,0.058572237286676244,113,1.6546657033486039,2,0.029286118643338122
TN,2020-03-26T00:00:00Z,956,4,6829174,13.998764711515625,0.058572237286676244,176,2.5771784406137552,0,0
TN,2020-03-27T00:00:00Z,1201,6,6829174,17.586314245324544,0.08785835593001438,245,3.58754953380892,2,0.02928611864333814
TN,2020-03-28T00:00:00Z,1370,6,6829174,20.060991270686618,0.08785835593001438,169,2.474677025362073,0,0
TN,2020-03-29T00:00:00Z,1579,6,6829174,23.12139066891545,0.08785835593001438,209,3.0603993982288316,0,0
TN,2020-03-30T00:00:00Z,1833,13,6829174,26.840727736619396,0.19035977118169783,254,3.719337067703947,7,0.10250141525168345
TN,2020-03-31T00:00:00Z,2238,22,6829174,32.77116676189536,0.3221473050767194,405,5.9304390252759625,9,0.13178753389502157
TN,2020-04-01T00:00:00Z,2681,24,6829174,39.25804204139476,0.35143342372005754,443,6.486875279499401,2,0.029286118643338133
TN,2020-04-02T00:00:00Z,2844,31,6829174,41.64486071082681,0.453934838971741,163,2.386818669432053,7,0.10250141525168344
TN,2020-04-03T00:00:00Z,3066,37,6829174,44.89561988023735,0.5417931949017553,222,3.2507591694105358,6,0.08785835593001429
TN,2020-04-04T00:00:00Z,3319,43,6829174,48.600313888619624,0.6296515508317697,253,3.704694008382276,6,0.08785835593001445
TN,2020-04-05T00:00:00Z,3631,45,6829174,53.16894839698037,0.6589376694751078,312,4.568634508360745,2,0.029286118643338077
TN,2020-04-06T00:00:00Z,3800,65,6829174,55.643625422342446,0.9517988559084891,169,2.4746770253620767,20,0.2928611864333813
TN,2020-04-07T00:00:00Z,4136,72,6829174,60.56369335442325,1.0543002711601726,336,4.920067932080805,7,0.10250141525168344
TN,2020-04-08T00:00:00Z,4362,79,6829174,63.873024761120455,1.156801686411856,226,3.309331406697204,7,0.10250141525168344
TN,2020-04-09T00:00:00Z,4632,94,6829174,67.8266507779711,1.376447576236892,270,3.9536260168506416,15,0.21964588982503597
TN,2020-04-10T00:00:00Z,4859,98,6829174,71.15062524398998,1.4350198135235681,227,3.323974466018882,4,0.058572237286676154
