County,date,cases,Region,Color,log_cases,Population,p_cases,log_p_cases
Westchester,2020-07-02T00:00:00Z,34912,Mid-Hudson,#91bdf0,4.542974728908248,968815,3603.577566408447,3.5567338746126436
Wyoming,2020-07-02T00:00:00Z,95,Western New York,#979797,1.9777236052888478,40565,234.192037470726,2.369572124974976
Yates,2020-07-02T00:00:00Z,46,Finger Lakes,#b4ffaa,1.662757831681574,25009,183.9337838378184,2.2646615051315813
New York State,2020-07-03T00:00:00Z,395872,New York State,#7a7a7a,5.597554785218914,21250933,1862.845268958309,3.270176783168743
Albany,2020-07-03T00:00:00Z,2130,Capital,#00ffff,3.3283796034387376,307426,692.849661381926,2.840639009048498
Allegany,2020-07-03T00:00:00Z,63,Western New York,#979797,1.7993405494535817,47025,133.9712918660287,2.127011745231165
Broome,2020-07-03T00:00:00Z,736,Southern Tier,#ffd900,2.866877814337499,194402,378.5969280151439,2.5781770857200015
Cattaraugus,2020-07-03T00:00:00Z,124,Western New York,#979797,2.093421685162235,77686,159.6169193934557,2.203078924669831
Cayuga,2020-07-03T00:00:00Z,120,Central New York,#d7e1be,2.0791812460476247,77868,154.10695022345507,2.187822225841246
Chautauqua,2020-07-03T00:00:00Z,129,Western New York,#979797,2.110589710299249,129656,99.49404578268648,1.9977970911869534
Chemung,2020-07-03T00:00:00Z,145,Finger Lakes,#b4ffaa,2.161368002234975,85740,169.11593188710054,2.228184523060361
Chenango,2020-07-03T00:00:00Z,148,Southern Tier,#ffd900,2.1702617153949575,48348,306.1140067841482,2.4858832019589547
Clinton,2020-07-03T00:00:00Z,101,North Country,#dcc8dc,2.0043213737826426,80794,125.00928286753967,2.096942263795742
Columbia,2020-07-03T00:00:00Z,474,Capital,#00ffff,2.6757783416740852,60919,778.082371673862,2.8910255759996795
Cortland,2020-07-03T00:00:00Z,48,Central New York,#d7e1be,1.6812412373755872,48123,99.74440496228415,1.9988885438359218
Delaware,2020-07-03T00:00:00Z,91,Southern Tier,#ffd900,1.9590413923210936,45502,199.99120917761854,2.30101090621619
Dutchess,2020-07-03T00:00:00Z,4231,Mid-Hudson,#91bdf0,3.6264430253312945,293894,1439.63469822453,3.1582523055175806
Erie,2020-07-03T00:00:00Z,7427,Western New York,#979797,3.8708134239155974,919866,807.4002082912077,2.9070888571125795
Essex,2020-07-03T00:00:00Z,46,North Country,#dcc8dc,1.662757831681574,37751,121.85107679266774,2.085829371379155
Franklin,2020-07-03T00:00:00Z,33,North Country,#dcc8dc,1.5185139398778875,50692,65.0990294326521,1.8135745136805472
Fulton,2020-07-03T00:00:00Z,261,Mohawk Valley,#ffff00,2.416640507338281,53743,485.64464209292373,2.686318601715252
Genesee,2020-07-03T00:00:00Z,239,Western New York,#979797,2.3783979009481375,58112,411.2747797356828,2.6141320784431654
Greene,2020-07-03T00:00:00Z,263,Capital,#00ffff,2.419955748489758,47617,552.3237499212466,2.7421937182879157
Hamilton,2020-07-03T00:00:00Z,6,North Country,#dcc8dc,0.7781512503836436,4575,131.14754098360655,2.1177601519811766
Herkimer,2020-07-03T00:00:00Z,172,Mohawk Valley,#ffff00,2.2355284469075487,62505,275.1779857611391,2.4396136873945897
Jefferson,2020-07-03T00:00:00Z,93,Tug Hill Seaway,#e978ef,1.968482948553935,114448,81.25961135188032,1.9098747408535799
Lewis,2020-07-03T00:00:00Z,30,Tug Hill Seaway,#e978ef,1.4771212547196624,26719,112.27965118455032,2.0503010547563068
Livingston,2020-07-03T00:00:00Z,130,Finger Lakes,#b4ffaa,2.113943352306837,63907,203.42059555291283,2.308394921458735
Madison,2020-07-03T00:00:00Z,360,Central New York,#d7e1be,2.5563025007672873,71359,504.4913745988593,2.702853745407137
Monroe,2020-07-03T00:00:00Z,3885,Finger Lakes,#b4ffaa,3.5893910231369333,744248,522.0034182154336,2.717673346885864
Montgomery,2020-07-03T00:00:00Z,119,Mohawk Valley,#ffff00,2.0755469613925306,49426,240.763970379962,2.3815914965562697
Nassau,2020-07-03T00:00:00Z,41947,Long Island,#ff64a5,4.622700906045888,1356564,3092.1504624920017,3.4902606183123144
New York,2020-07-03T00:00:00Z,216362,New York City,#c8ff00,5.335180987305751,8443713,2562.403530295262,3.4086475239958745
Niagara,2020-07-03T00:00:00Z,1262,Western New York,#979797,3.1010593549081156,211704,596.1153308392851,2.77533029111867
Oneida,2020-07-03T00:00:00Z,1708,Central New York,#d7e1be,3.232487866352986,230782,740.0923815548873,2.8692859336436607
Onondaga,2020-07-03T00:00:00Z,2909,Central New York,#d7e1be,3.463743721247059,464242,626.6128441631735,2.7969992927033958
Ontario,2020-07-03T00:00:00Z,275,Finger Lakes,#b4ffaa,2.439332693830263,109472,251.2057877813505,2.400029641325294
Orange,2020-07-03T00:00:00Z,10759,Mid-Hudson,#91bdf0,4.031771907514002,378227,2844.5880384002203,3.4540193794817955
Orleans,2020-07-03T00:00:00Z,282,Western New York,#979797,2.450249108319361,41175,684.8816029143898,2.835615500477569
Oswego,2020-07-03T00:00:00Z,206,Central New York,#d7e1be,2.3138672203691533,119104,172.95808704997313,2.2379408732544994
Otsego,2020-07-03T00:00:00Z,84,Mohawk Valley,#ffff00,1.9242792860618816,60244,139.43297257818207,2.144365486211619
Putnam,2020-07-03T00:00:00Z,1333,Mid-Hudson,#91bdf0,3.1248301494138593,99070,1345.5132734430201,3.1288879864213084
Rensselaer,2020-07-03T00:00:00Z,559,Capital,#00ffff,2.747411807886423,159431,350.62189912877676,2.5448390377525607
Rockland,2020-07-03T00:00:00Z,13623,Mid-Hudson,#91bdf0,4.134272756620629,323686,4208.708439660659,3.6241488408270546
St. Lawrence,2020-07-03T00:00:00Z,222,Tug Hill Seaway,#e978ef,2.346352974450639,109558,202.63239562606105,2.306708878916286
Saratoga,2020-07-03T00:00:00Z,561,Capital,#00ffff,2.7489628612561616,227377,246.72680174336014,2.3922163291290137
Schenectady,2020-07-03T00:00:00Z,824,Capital,#00ffff,2.9159272116971158,154883,532.0144883557266,2.7259234596019377
Schoharie,2020-07-03T00:00:00Z,58,Mohawk Valley,#ffff00,1.7634279935629373,31364,184.92539216936615,2.2669965483787373
Schuyler,2020-07-03T00:00:00Z,13,Finger Lakes,#b4ffaa,1.1139433523068367,17992,72.25433526011561,1.858863909879261
Seneca,2020-07-03T00:00:00Z,70,Finger Lakes,#b4ffaa,1.845098040014257,34612,202.24199699526176,2.3058713449712616
Steuben,2020-07-03T00:00:00Z,268,Finger Lakes,#b4ffaa,2.428134794028789,96927,276.49674497302095,2.441690022987638
Suffolk,2020-07-03T00:00:00Z,41538,Long Island,#ff64a5,4.61844558199508,1487901,2791.7179973667603,3.4458715463390197
Sullivan,2020-07-03T00:00:00Z,1455,Mid-Hudson,#91bdf0,3.162862993321926,75211,1934.5574450545798,3.2865816302577326
Tioga,2020-07-03T00:00:00Z,143,Southern Tier,#ffd900,2.155336037465062,49045,291.5689672749516,2.4647412985950377
Tompkins,2020-07-03T00:00:00Z,178,Southern Tier,#ffd900,2.250420002308894,102962,172.87931469862667,2.237743032315752
Ulster,2020-07-03T00:00:00Z,1815,Mid-Hudson,#91bdf0,3.258876629372131,179303,1012.2530019018087,3.0052890733707622
Warren,2020-07-03T00:00:00Z,266,North Country,#dcc8dc,2.424881636631067,64480,412.531017369727,2.615456607834033
Washington,2020-07-03T00:00:00Z,246,North Country,#dcc8dc,2.3909351071033793,61828,397.87798408488067,2.5997499088498883
Wayne,2020-07-03T00:00:00Z,181,Finger Lakes,#b4ffaa,2.2576785748691846,90856,199.2163423439289,2.299324962093057
Westchester,2020-07-03T00:00:00Z,34980,Mid-Hudson,#91bdf0,4.5438198051426575,968815,3610.5964503026894,3.5575789508470534
Wyoming,2020-07-03T00:00:00Z,95,Western New York,#979797,1.9777236052888478,40565,234.192037470726,2.369572124974976
Yates,2020-07-03T00:00:00Z,46,Finger Lakes,#b4ffaa,1.662757831681574,25009,183.9337838378184,2.2646615051315813
New York State,2020-07-04T00:00:00Z,396598,New York State,#7a7a7a,5.598350519775603,21250933,1866.2615895499741,3.270972517725432
Albany,2020-07-04T00:00:00Z,2145,Capital,#00ffff,3.331427296520743,307426,697.7288843494044,2.843686702130503
Allegany,2020-07-04T00:00:00Z,63,Western New York,#979797,1.7993405494535817,47025,133.9712918660287,2.127011745231165
Broome,2020-07-04T00:00:00Z,752,Southern Tier,#ffd900,2.876217840591642,194402,386.82729601547305,2.5875171119741447
Cattaraugus,2020-07-04T00:00:00Z,127,Western New York,#979797,2.103803720955957,77686,163.4786190562006,2.213460960463553
Cayuga,2020-07-04T00:00:00Z,120,Central New York,#d7e1be,2.0791812460476247,77868,154.10695022345507,2.187822225841246
Chautauqua,2020-07-04T00:00:00Z,131,Western New York,#979797,2.1172712956557644,129656,101.03658912815449,2.0044786765434686
Chemung,2020-07-04T00:00:00Z,146,Finger Lakes,#b4ffaa,2.164352855784437,85740,170.2822486587357,2.2311693766098233
Chenango,2020-07-04T00:00:00Z,149,Southern Tier,#ffd900,2.173186268412274,48348,308.18234466782496,2.4888077549762713
Clinton,2020-07-04T00:00:00Z,101,North Country,#dcc8dc,2.0043213737826426,80794,125.00928286753967,2.096942263795742
Columbia,2020-07-04T00:00:00Z,474,Capital,#00ffff,2.6757783416740852,60919,778.082371673862,2.8910255759996795
Cortland,2020-07-04T00:00:00Z,50,Central New York,#d7e1be,1.6989700043360187,48123,103.90042183571265,2.016617310796353
Delaware,2020-07-04T00:00:00Z,91,Southern Tier,#ffd900,1.9590413923210936,45502,199.99120917761854,2.30101090621619
Dutchess,2020-07-04T00:00:00Z,4238,Mid-Hudson,#91bdf0,3.627160952374776,293894,1442.0165093537125,3.1589702325610616
Erie,2020-07-04T00:00:00Z,7462,Western New York,#979797,3.87285524470481,919866,811.205110309545,2.9091306779017923
Essex,2020-07-04T00:00:00Z,47,North Country,#dcc8dc,1.6720978579357175,37751,124.50001324468226,2.095169397633298
