County,date,deaths,cases
Chautauqua,2020-04-11T00:00:00Z,3,22
Clinton,2020-04-11T00:00:00Z,2,43
Columbia,2020-04-11T00:00:00Z,7,87
Delaware,2020-04-11T00:00:00Z,2,39
Dutchess,2020-04-11T00:00:00Z,11,1744
Erie,2020-04-11T00:00:00Z,53,1506
Herkimer,2020-04-11T00:00:00Z,3,37
Livingston,2020-04-11T00:00:00Z,2,30
Madison,2020-04-11T00:00:00Z,3,102
Monroe,2020-04-11T00:00:00Z,40,767
Nassau,2020-04-11T00:00:00Z,792,22584
New York,2020-04-11T00:00:00Z,6367,98308
Niagara,2020-04-11T00:00:00Z,4,167
Oneida,2020-04-11T00:00:00Z,3,181
Onondaga,2020-04-11T00:00:00Z,8,456
Orange,2020-04-11T00:00:00Z,132,4847
Oswego,2020-04-11T00:00:00Z,2,37
Putnam,2020-04-11T00:00:00Z,7,494
Rensselaer,2020-04-11T00:00:00Z,5,102
Rockland,2020-04-11T00:00:00Z,200,7477
Saratoga,2020-04-11T00:00:00Z,4,187
Schenectady,2020-04-11T00:00:00Z,7,194
Steuben,2020-04-11T00:00:00Z,6,117
Suffolk,2020-04-11T00:00:00Z,458,20321
Sullivan,2020-04-11T00:00:00Z,7,340
Ulster,2020-04-11T00:00:00Z,8,589
Westchester,2020-04-11T00:00:00Z,461,18729
New York State,2020-04-12T00:00:00Z,9385,189033
Albany,2020-04-12T00:00:00Z,12,478
Broome,2020-04-12T00:00:00Z,6,126
Chautauqua,2020-04-12T00:00:00Z,3,23
Clinton,2020-04-12T00:00:00Z,2,43
Columbia,2020-04-12T00:00:00Z,7,87
Delaware,2020-04-12T00:00:00Z,3,39
Dutchess,2020-04-12T00:00:00Z,12,1838
Erie,2020-04-12T00:00:00Z,57,1571
Herkimer,2020-04-12T00:00:00Z,3,37
Livingston,2020-04-12T00:00:00Z,2,34
Madison,2020-04-12T00:00:00Z,3,105
Monroe,2020-04-12T00:00:00Z,40,798
Nassau,2020-04-12T00:00:00Z,846,23553
New York,2020-04-12T00:00:00Z,6898,103208
Niagara,2020-04-12T00:00:00Z,4,194
Oneida,2020-04-12T00:00:00Z,3,195
Onondaga,2020-04-12T00:00:00Z,9,494
Orange,2020-04-12T00:00:00Z,145,5027
Oswego,2020-04-12T00:00:00Z,2,42
Putnam,2020-04-12T00:00:00Z,7,507
Rensselaer,2020-04-12T00:00:00Z,5,102
Rockland,2020-04-12T00:00:00Z,200,7721
Saratoga,2020-04-12T00:00:00Z,4,196
Schenectady,2020-04-12T00:00:00Z,7,199
Steuben,2020-04-12T00:00:00Z,10,147
Suffolk,2020-04-12T00:00:00Z,518,20934
Sullivan,2020-04-12T00:00:00Z,7,358
Ulster,2020-04-12T00:00:00Z,11,655
Westchester,2020-04-12T00:00:00Z,511,19313
New York State,2020-04-13T00:00:00Z,10058,195749
Albany,2020-04-13T00:00:00Z,14,499
Broome,2020-04-13T00:00:00Z,8,133
Chautauqua,2020-04-13T00:00:00Z,3,23
Clinton,2020-04-13T00:00:00Z,3,44
Columbia,2020-04-13T00:00:00Z,9,93
Delaware,2020-04-13T00:00:00Z,3,42
Dutchess,2020-04-13T00:00:00Z,13,1881
Erie,2020-04-13T00:00:00Z,66,1661
Herkimer,2020-04-13T00:00:00Z,3,38
Livingston,2020-04-13T00:00:00Z,3,34
Madison,2020-04-13T00:00:00Z,3,110
Monroe,2020-04-13T00:00:00Z,50,823
Nassau,2020-04-13T00:00:00Z,910,24358
New York,2020-04-13T00:00:00Z,7349,106763
Niagara,2020-04-13T00:00:00Z,5,194
Oneida,2020-04-13T00:00:00Z,3,206
Onondaga,2020-04-13T00:00:00Z,11,520
Orange,2020-04-13T00:00:00Z,171,5598
Oswego,2020-04-13T00:00:00Z,2,42
Putnam,2020-04-13T00:00:00Z,7,507
Rensselaer,2020-04-13T00:00:00Z,6,113
Rockland,2020-04-13T00:00:00Z,241,7965
Saratoga,2020-04-13T00:00:00Z,4,201
Schenectady,2020-04-13T00:00:00Z,8,204
Steuben,2020-04-13T00:00:00Z,11,147
Suffolk,2020-04-13T00:00:00Z,568,21643
Sullivan,2020-04-13T00:00:00Z,8,380
Ulster,2020-04-13T00:00:00Z,11,716
Westchester,2020-04-13T00:00:00Z,557,19786
New York State,2020-04-14T00:00:00Z,10842,203020
Albany,2020-04-14T00:00:00Z,16,535
Broome,2020-04-14T00:00:00Z,8,146
Chautauqua,2020-04-14T00:00:00Z,3,23
Clinton,2020-04-14T00:00:00Z,3,45
Columbia,2020-04-14T00:00:00Z,9,93
Delaware,2020-04-14T00:00:00Z,3,45
Dutchess,2020-04-14T00:00:00Z,17,1934
Erie,2020-04-14T00:00:00Z,73,1730
Herkimer,2020-04-14T00:00:00Z,3,39
Livingston,2020-04-14T00:00:00Z,3,34
Madison,2020-04-14T00:00:00Z,3,110
Monroe,2020-04-14T00:00:00Z,56,850
Nassau,2020-04-14T00:00:00Z,1001,25250
New York,2020-04-14T00:00:00Z,7905,110465
Niagara,2020-04-14T00:00:00Z,5,216
Oneida,2020-04-14T00:00:00Z,4,229
Onondaga,2020-04-14T00:00:00Z,11,537
Orange,2020-04-14T00:00:00Z,178,5830
Oswego,2020-04-14T00:00:00Z,2,42
Otsego,2020-04-14T00:00:00Z,2,44
Putnam,2020-04-14T00:00:00Z,7,634
Rensselaer,2020-04-14T00:00:00Z,6,140
Rockland,2020-04-14T00:00:00Z,263,8335
Saratoga,2020-04-14T00:00:00Z,4,224
Schenectady,2020-04-14T00:00:00Z,8,235
