county,deaths,date
Cattaraugus,0,2020-04-19
Cayuga,2,2020-04-19
Chautauqua,1,2020-04-19
Chemung,1,2020-04-19
Chenango,0,2020-04-19
Clinton,3,2020-04-19
Columbia,13,2020-04-19
Cortland,1,2020-04-19
Delaware,2,2020-04-19
Dutchess,49,2020-04-19
Erie,136,2020-04-19
Essex,0,2020-04-19
Franklin,0,2020-04-19
Fulton,2,2020-04-19
Genesee,2,2020-04-19
Greene,2,2020-04-19
Hamilton,0,2020-04-19
Herkimer,3,2020-04-19
Jefferson,0,2020-04-19
Kings,3162,2020-04-19
Lewis,3,2020-04-19
Livingston,1,2020-04-19
Madison,4,2020-04-19
Manhattan,1207,2020-04-19
Monroe,56,2020-04-19
Montgomery,3,2020-04-19
Nassau,1281,2020-04-19
New York,8480,2020-04-19
Niagara,17,2020-04-19
Oneida,4,2020-04-19
Onondaga,17,2020-04-19
Ontario,1,2020-04-19
Orange,168,2020-04-19
Orleans,2,2020-04-19
Oswego,2,2020-04-19
Otsego,3,2020-04-19
Putnam,36,2020-04-19
Queens,3114,2020-04-19
Rensselaer,6,2020-04-19
Richmond,458,2020-04-19
Rockland,297,2020-04-19
St. Lawrence,1,2020-04-19
Saratoga,9,2020-04-19
Schenectady,13,2020-04-19
Schoharie,1,2020-04-19
Schuyler,0,2020-04-19
Seneca,2,2020-04-19
Steuben,12,2020-04-19
Suffolk,825,2020-04-19
Sullivan,8,2020-04-19
Tioga,1,2020-04-19
Tompkins,0,2020-04-19
Ulster,16,2020-04-19
Warren,4,2020-04-19
Washington,3,2020-04-19
Wayne,1,2020-04-19
Westchester,743,2020-04-19
Wyoming,4,2020-04-19
Yates,0,2020-04-19
New York State,13869,2020-04-20
Albany,17,2020-04-20
Allegany,2,2020-04-20
Bronx,2081,2020-04-20
Broome,7,2020-04-20
Cattaraugus,0,2020-04-20
Cayuga,2,2020-04-20
Chautauqua,1,2020-04-20
Chemung,1,2020-04-20
Chenango,0,2020-04-20
Clinton,3,2020-04-20
Columbia,13,2020-04-20
Cortland,1,2020-04-20
Delaware,2,2020-04-20
Dutchess,49,2020-04-20
Erie,136,2020-04-20
Essex,0,2020-04-20
Franklin,0,2020-04-20
Fulton,2,2020-04-20
Genesee,2,2020-04-20
Greene,2,2020-04-20
Hamilton,0,2020-04-20
Herkimer,3,2020-04-20
Jefferson,0,2020-04-20
Kings,3162,2020-04-20
Lewis,3,2020-04-20
Livingston,1,2020-04-20
Madison,4,2020-04-20
Manhattan,1207,2020-04-20
Monroe,56,2020-04-20
Montgomery,3,2020-04-20
Nassau,1281,2020-04-20
New York,8480,2020-04-20
Niagara,17,2020-04-20
Oneida,4,2020-04-20
Onondaga,17,2020-04-20
Ontario,1,2020-04-20
Orange,168,2020-04-20
Orleans,2,2020-04-20
Oswego,2,2020-04-20
Otsego,3,2020-04-20
Putnam,36,2020-04-20
Queens,3114,2020-04-20
Rensselaer,6,2020-04-20
Richmond,458,2020-04-20
Rockland,297,2020-04-20
St. Lawrence,1,2020-04-20
Saratoga,9,2020-04-20
Schenectady,13,2020-04-20
Schoharie,1,2020-04-20
Schuyler,0,2020-04-20
Seneca,2,2020-04-20
Steuben,12,2020-04-20
Suffolk,825,2020-04-20
Sullivan,8,2020-04-20
Tioga,1,2020-04-20
Tompkins,0,2020-04-20
Ulster,16,2020-04-20
Warren,4,2020-04-20
Washington,3,2020-04-20
Wayne,1,2020-04-20
Westchester,743,2020-04-20
Wyoming,4,2020-04-20
Yates,0,2020-04-20
New York State,14828,2020-04-22
Albany,20,2020-04-22
Allegany,2,2020-04-22
Bronx,2197,2020-04-22
Broome,7,2020-04-22
Cattaraugus,0,2020-04-22
Cayuga,2,2020-04-22
Chautauqua,1,2020-04-22
Chemung,1,2020-04-22
Chenango,0,2020-04-22
Clinton,3,2020-04-22
Columbia,14,2020-04-22
Cortland,1,2020-04-22
Delaware,2,2020-04-22
Dutchess,50,2020-04-22
Erie,151,2020-04-22
Essex,0,2020-04-22
Franklin,0,2020-04-22
Fulton,2,2020-04-22
Genesee,2,2020-04-22
Greene,2,2020-04-22
Hamilton,0,2020-04-22
Herkimer,3,2020-04-22
Jefferson,0,2020-04-22
Kings,3360,2020-04-22
Lewis,3,2020-04-22
Livingston,1,2020-04-22
Madison,4,2020-04-22
Manhattan,1289,2020-04-22
Monroe,63,2020-04-22
Montgomery,3,2020-04-22
Nassau,1390,2020-04-22
New York,10175,2020-04-22
Niagara,17,2020-04-22
Oneida,6,2020-04-22
Onondaga,20,2020-04-22
Ontario,1,2020-04-22
Orange,183,2020-04-22
Orleans,3,2020-04-22
Oswego,2,2020-04-22
Otsego,3,2020-04-22
Putnam,38,2020-04-22
Queens,3329,2020-04-22
Rensselaer,7,2020-04-22
Richmond,482,2020-04-22
Rockland,321,2020-04-22
St. Lawrence,1,2020-04-22
Saratoga,10,2020-04-22
Schenectady,13,2020-04-22
Schoharie,1,2020-04-22
Schuyler,0,2020-04-22
Seneca,2,2020-04-22
Steuben,15,2020-04-22
Suffolk,888,2020-04-22
Sullivan,9,2020-04-22
Tioga,2,2020-04-22
Tompkins,0,2020-04-22
Ulster,17,2020-04-22
Warren,4,2020-04-22
Washington,3,2020-04-22
Wayne,1,2020-04-22
Westchester,809,2020-04-22
Wyoming,4,2020-04-22
Yates,0,2020-04-22
New York State,15302,2020-04-23
Albany,20,2020-04-23
Allegany,2,2020-04-23
Bronx,2258,2020-04-23
Broome,8,2020-04-23
Cattaraugus,1,2020-04-23
Cayuga,2,2020-04-23
Chautauqua,1,2020-04-23
Chemung,1,2020-04-23
Chenango,0,2020-04-23
Clinton,3,2020-04-23
Columbia,14,2020-04-23
Cortland,1,2020-04-23
Delaware,2,2020-04-23
Dutchess,53,2020-04-23
Erie,161,2020-04-23
Essex,0,2020-04-23
Franklin,0,2020-04-23
Fulton,2,2020-04-23
Genesee,3,2020-04-23
Greene,2,2020-04-23
Hamilton,0,2020-04-23
Herkimer,3,2020-04-23
Jefferson,0,2020-04-23
Kings,3458,2020-04-23
Lewis,3,2020-04-23
Livingston,1,2020-04-23
Madison,5,2020-04-23
Manhattan,1431,2020-04-23
Monroe,65,2020-04-23
Montgomery,3,2020-04-23
Nassau,1431,2020-04-23
New York,10579,2020-04-23
Niagara,19,2020-04-23
Oneida,8,2020-04-23
Onondaga,21,2020-04-23
Ontario,2,2020-04-23
Orange,185,2020-04-23
Orleans,3,2020-04-23
Oswego,2,2020-04-23
Otsego,3,2020-04-23
Putnam,38,2020-04-23
Queens,3432,2020-04-23
Rensselaer,7,2020-04-23
Richmond,492,2020-04-23
Rockland,334,2020-04-23
St. Lawrence,1,2020-04-23
Saratoga,10,2020-04-23
Schenectady,15,2020-04-23
Schoharie,1,2020-04-23
Schuyler,0,2020-04-23
Seneca,2,2020-04-23
Steuben,15,2020-04-23
Suffolk,926,2020-04-23
Sullivan,9,2020-04-23
Tioga,2,2020-04-23
Tompkins,0,2020-04-23
Ulster,19,2020-04-23
Warren,4,2020-04-23
Washington,3,2020-04-23
Wayne,1,2020-04-23
Westchester,838,2020-04-23
Wyoming,5,2020-04-23
Yates,0,2020-04-23
New York State,15740,2020-04-24
Albany,23,2020-04-24
Allegany,2,2020-04-24
Bronx,2335,2020-04-24
Broome,10,2020-04-24
Cattaraugus,1,2020-04-24
Cayuga,2,2020-04-24
Chautauqua,1,2020-04-24
Chemung,1,2020-04-24
Chenango,0,2020-04-24
Clinton,4,2020-04-24
Columbia,14,2020-04-24
Cortland,1,2020-04-24
Delaware,2,2020-04-24
Dutchess,57,2020-04-24
Erie,165,2020-04-24
Essex,0,2020-04-24
Franklin,0,2020-04-24
Fulton,2,2020-04-24
Genesee,3,2020-04-24
Greene,2,2020-04-24
Hamilton,0,2020-04-24
