NAME,date,deaths
Iowa,2020-04-02T00:00:00Z,11
Kansas,2020-04-02T00:00:00Z,13
Kentucky,2020-04-02T00:00:00Z,31
Louisiana,2020-04-02T00:00:00Z,310
Maryland,2020-04-02T00:00:00Z,36
Massachusetts,2020-04-02T00:00:00Z,154
Michigan,2020-04-02T00:00:00Z,453
Minnesota,2020-04-02T00:00:00Z,18
Mississippi,2020-04-02T00:00:00Z,26
Missouri,2020-04-02T00:00:00Z,32
Nevada,2020-04-02T00:00:00Z,38
New Jersey,2020-04-02T00:00:00Z,681
New York,2020-04-02T00:00:00Z,4138
North Carolina,2020-04-02T00:00:00Z,21
Ohio,2020-04-02T00:00:00Z,81
Oklahoma,2020-04-02T00:00:00Z,34
Oregon,2020-04-02T00:00:00Z,21
Pennsylvania,2020-04-02T00:00:00Z,90
Puerto Rico,2020-04-02T00:00:00Z,12
Rhode Island,2020-04-02T00:00:00Z,12
South Carolina,2020-04-02T00:00:00Z,31
Tennessee,2020-04-02T00:00:00Z,36
Texas,2020-04-02T00:00:00Z,101
Vermont,2020-04-02T00:00:00Z,17
Virginia,2020-04-02T00:00:00Z,41
Washington,2020-04-02T00:00:00Z,271
Wisconsin,2020-04-02T00:00:00Z,67
United States,2020-04-03T00:00:00Z,9344
Alabama,2020-04-03T00:00:00Z,38
Arizona,2020-04-03T00:00:00Z,44
Arkansas,2020-04-03T00:00:00Z,12
California,2020-04-03T00:00:00Z,265
Colorado,2020-04-03T00:00:00Z,111
Connecticut,2020-04-03T00:00:00Z,131
Delaware,2020-04-03T00:00:00Z,14
District of Columbia,2020-04-03T00:00:00Z,15
Florida,2020-04-03T00:00:00Z,170
Georgia,2020-04-03T00:00:00Z,184
Illinois,2020-04-03T00:00:00Z,210
Indiana,2020-04-03T00:00:00Z,102
Iowa,2020-04-03T00:00:00Z,11
Kansas,2020-04-03T00:00:00Z,18
Kentucky,2020-04-03T00:00:00Z,34
Louisiana,2020-04-03T00:00:00Z,370
Maryland,2020-04-03T00:00:00Z,43
Massachusetts,2020-04-03T00:00:00Z,192
Michigan,2020-04-03T00:00:00Z,518
Minnesota,2020-04-03T00:00:00Z,22
Mississippi,2020-04-03T00:00:00Z,29
Missouri,2020-04-03T00:00:00Z,45
Nevada,2020-04-03T00:00:00Z,43
New Jersey,2020-04-03T00:00:00Z,817
New Mexico,2020-04-03T00:00:00Z,10
New York,2020-04-03T00:00:00Z,4899
North Carolina,2020-04-03T00:00:00Z,27
Ohio,2020-04-03T00:00:00Z,91
Oklahoma,2020-04-03T00:00:00Z,38
Oregon,2020-04-03T00:00:00Z,22
Pennsylvania,2020-04-03T00:00:00Z,102
Puerto Rico,2020-04-03T00:00:00Z,15
Rhode Island,2020-04-03T00:00:00Z,11
South Carolina,2020-04-03T00:00:00Z,34
Tennessee,2020-04-03T00:00:00Z,41
Texas,2020-04-03T00:00:00Z,118
Vermont,2020-04-03T00:00:00Z,17
Virginia,2020-04-03T00:00:00Z,46
Washington,2020-04-03T00:00:00Z,291
Wisconsin,2020-04-03T00:00:00Z,86
United States,2020-04-04T00:00:00Z,10885
Alabama,2020-04-04T00:00:00Z,44
Arizona,2020-04-04T00:00:00Z,52
Arkansas,2020-04-04T00:00:00Z,14
California,2020-04-04T00:00:00Z,289
Colorado,2020-04-04T00:00:00Z,126
Connecticut,2020-04-04T00:00:00Z,165
Delaware,2020-04-04T00:00:00Z,14
District of Columbia,2020-04-04T00:00:00Z,21
Florida,2020-04-04T00:00:00Z,195
Georgia,2020-04-04T00:00:00Z,201
Idaho,2020-04-04T00:00:00Z,10
Illinois,2020-04-04T00:00:00Z,244
Indiana,2020-04-04T00:00:00Z,116
Iowa,2020-04-04T00:00:00Z,14
Kansas,2020-04-04T00:00:00Z,18
Kentucky,2020-04-04T00:00:00Z,40
