CNTY,FIPS,MortalityRate2014
"Saint Clair County, Illinois",17163,69.63
"Saline County, Illinois",17165,86.59
"Sangamon County, Illinois",17167,59.13
"Schuyler County, Illinois",17169,54.95
"Scott County, Illinois",17171,64.43
"Shelby County, Illinois",17173,50.07
"Stark County, Illinois",17175,64.11
"Stephenson County, Illinois",17177,59.34
"Tazewell County, Illinois",17179,56.21
"Union County, Illinois",17181,71.75
"Vermilion County, Illinois",17183,86.67
"Wabash County, Illinois",17185,71.82
"Warren County, Illinois",17187,61.96
"Washington County, Illinois",17189,45.37
"Wayne County, Illinois",17191,76.71
"White County, Illinois",17193,82.4
"Whiteside County, Illinois",17195,62.37
"Will County, Illinois",17197,45.1
"Williamson County, Illinois",17199,71.4
"Winnebago County, Illinois",17201,57.96
"Woodford County, Illinois",17203,52.32
Indiana,18000,69.55
"Adams County, Indiana",18001,47.82
"Allen County, Indiana",18003,66.92
"Bartholomew County, Indiana",18005,74.17
"Benton County, Indiana",18007,75.24
"Blackford County, Indiana",18009,75.04
"Boone County, Indiana",18011,66.16
"Brown County, Indiana",18013,59.14
"Carroll County, Indiana",18015,64.84
"Cass County, Indiana",18017,69.12
"Clark County, Indiana",18019,77.61
"Clay County, Indiana",18021,71.96
"Clinton County, Indiana",18023,71.75
"Crawford County, Indiana",18025,81.19
"Daviess County, Indiana",18027,65.65
"DeKalb County, Indiana",18029,72.35
"Dearborn County, Indiana",18031,66.25
"Decatur County, Indiana",18033,57.01
"Delaware County, Indiana",18035,84.01
"Dubois County, Indiana",18037,45.22
"Elkhart County, Indiana",18039,61.75
"Fayette County, Indiana",18041,96.91
"Floyd County, Indiana",18043,73.89
"Fountain County, Indiana",18045,81.41
"Franklin County, Indiana",18047,53.2
